,Compound,Date,Negative,Neutral,Positive,Tweets Ago,target
315,0.0,Tue Jul 31 22:19:26 +0000 2018,1.0,0.0,0.0,16,FoxNews
316,0.0,Tue Jul 31 22:17:27 +0000 2018,1.0,0.0,0.0,17,FoxNews
317,-0.34,Tue Jul 31 22:14:33 +0000 2018,0.769,0.231,0.0,18,FoxNews
318,0.0,Tue Jul 31 22:06:41 +0000 2018,1.0,0.0,0.0,19,FoxNews
319,0.0,Tue Jul 31 22:00:00 +0000 2018,1.0,0.0,0.0,20,FoxNews
320,-0.6808,Tue Jul 31 21:55:00 +0000 2018,0.789,0.211,0.0,21,FoxNews
321,0.0,Tue Jul 31 21:51:03 +0000 2018,1.0,0.0,0.0,22,FoxNews
322,0.0,Tue Jul 31 21:45:00 +0000 2018,1.0,0.0,0.0,23,FoxNews
323,0.4939,Tue Jul 31 21:38:00 +0000 2018,0.849,0.0,0.151,24,FoxNews
324,0.4588,Tue Jul 31 21:30:01 +0000 2018,0.612,0.122,0.266,25,FoxNews
325,0.4404,Tue Jul 31 21:21:27 +0000 2018,0.847,0.0,0.153,26,FoxNews
326,0.0,Tue Jul 31 21:15:00 +0000 2018,1.0,0.0,0.0,27,FoxNews
327,-0.6124,Tue Jul 31 21:11:43 +0000 2018,0.75,0.25,0.0,28,FoxNews
328,0.5719,Tue Jul 31 20:54:46 +0000 2018,0.783,0.0,0.217,29,FoxNews
329,-0.4404,Tue Jul 31 20:45:00 +0000 2018,0.818,0.182,0.0,30,FoxNews
330,0.0,Tue Jul 31 20:40:24 +0000 2018,1.0,0.0,0.0,31,FoxNews
331,0.5267,Tue Jul 31 20:36:13 +0000 2018,0.833,0.0,0.167,32,FoxNews
332,0.0,Tue Jul 31 20:33:36 +0000 2018,1.0,0.0,0.0,33,FoxNews
333,-0.0516,Tue Jul 31 20:31:11 +0000 2018,0.909,0.091,0.0,34,FoxNews
334,-0.6124,Tue Jul 31 20:22:00 +0000 2018,0.684,0.316,0.0,35,FoxNews
335,-0.743,Tue Jul 31 20:16:00 +0000 2018,0.636,0.364,0.0,36,FoxNews
